# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SOURCE	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	AUTOCOGID
#
244357	seta	1035_GOOD	upo	upo	u p o		laycock1968	23261	7 1 7	XBZ	YPU	27	27.Y.V 27.P.C 27.U.V	1.5 1.75 0.8	upo	0	18
244389	ambulas	1035_GOOD	ykw	ykw	j k w		laycock1968	23138	6 1 6	ACC	JKW	4	4.J.C 4.K.C 4.W.C	2.0 1.5 1.5	jkw	0	3
244390	kwoma	1035_GOOD	kep	kep	k e p		laycock1968	23090	1 7 1	AXN	KEP	16	16.K.C 16.E.V 16.P.c	2.0 1.5 0.8	kep	0	12
244381	awtuw	1035_GOOD	mete	mete	m e t e		laycock1968	23488	4 7 1 7	AXBZ	METE	8	8.M.C 8.E.V 8.T.C 8.E.V	2.0 1.5 1.75 0.8	mete	0	7
244387	iwam	1035_GOOD	kapənaŋki	kapənaŋki	k a p ə n a ŋ k i		laycock1968	22833	1 7 1 7 4 7 4 1 7	AXBYBYMBZ	KAPENANKI	14	14.K.C 14.A.V 14.P.C 14.E.V 14.N.C 14.A.V 14.N.c 14.K.C 14.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.1 1.75 0.8	kapənaŋki	0	11
244386	abau	1035_GOOD	yapre	yapre	j a p r e		laycock1968	23421	6 7 1 5 7	AXBCZ	JAPRE	1	1.J.C 1.A.V 1.P.C 1.R.C 1.E.V	2.0 1.5 1.75 1.5 0.8	japre	0	1
244385	yessan-mayo	1035_GOOD	yanpo	yanpo	j a n p o		laycock1968	22817	6 7 4 1 7	AXMBZ	JANPU	39	39.J.C 39.A.V 39.N.c 39.P.C 39.U.V	2.0 1.5 1.1 1.75 0.8	janpo	0	27
244392	namia	1035_GOOD	yepanə	yepanə	j e p a n ə		laycock1968	23421	6 7 1 7 4 7	AXBYBZ	JEPANE	21	21.J.C 21.E.V 21.P.C 21.A.V 21.N.C 21.E.V	2.0 1.5 1.75 1.3 1.75 0.8	jepanə	0	1
244388	wogamusin	1035_GOOD	məwlbi	məwlbi	m ə w l b i		laycock1968	23306	4 7 6 5 1 7	AXLMBZ	MEWLPI	35	35.M.C 35.E.V 35.W.c 35.L.c 35.P.C 35.I.V	2.0 1.5 1.1 1.1 1.75 0.8	məwlbi	0	23
