# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SOURCE	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	AUTOCOGID
#
258890	sinaugoro	1035_GOOD	namo	namo	n a m o		dutton1970	25045	4 7 4 7	AXBZ	NAMU	12	12.N.C 12.A.V 12.M.C 12.U.V	2.0 1.5 1.75 0.8	namo	0	4
258885	hula	1035_GOOD	nama	nama	n a m a		dutton1970	25045	4 7 4 7	AXBZ	NAMA	4	4.N.C 4.A.V 4.M.C 4.A.V	2.0 1.5 1.75 0.8	nama	0	4
258888	motu	1035_GOOD	namo	namo	n a m o		dutton1970	25045	4 7 4 7	AXBZ	NAMU	10	10.N.C 10.A.V 10.M.C 10.U.V	2.0 1.5 1.75 0.8	namo	1	4
258889	mulaha	1035_GOOD	vasua	vasua	v a s u a		dutton1970	25047	3 7 3 7 7	AXBYZ	BASYA	11	11.B.C 11.A.V 11.S.C 11.Y.V 11.A.V	2.0 1.5 1.75 1.3 0.8	vasua	0	11
258887	humene	1035_GOOD	aˈhivai	aˈhivai	a h i v a i		dutton1970	25046	7 3 7 3 7 7	XBYBYZ	AHIBAI	5	5.A.V 5.H.C 5.I.V 5.B.C 5.A.V 5.I.V	1.5 1.75 1.3 1.75 1.3 0.8	ahivai	0	5
258883	uare	1035_GOOD	maˈnoɣa	maˈnoɣa	m a n o ɣ a		dutton1970	25044	4 7 4 7 3 7	AXBYBZ	MANUGA	13	13.M.C 13.A.V 13.N.C 13.U.V 13.G.C 13.A.V	2.0 1.5 1.75 1.3 1.75 0.8	manoɣa	0	13
258886	maria	1035_GOOD	ˈgato	ˈgato	g a t o		dutton1970	25043	1 7 1 7	AXBZ	KATU	6	6.K.C 6.A.V 6.T.C 6.U.V	2.0 1.5 1.75 0.8	gato	0	6
258878	doromu-bareika	1035_GOOD	ˈbuni	ˈbuni	b u n i		dutton1970	25042	1 7 4 7	AXBZ	PYNI	2	2.P.C 2.Y.V 2.N.C 2.I.V	2.0 1.5 1.75 0.8	buni	0	1
258881	doromu-lofaika	1035_GOOD	ˈbuni	ˈbuni	b u n i		dutton1970	25042	1 7 4 7	AXBZ	PYNI	3	3.P.C 3.Y.V 3.N.C 3.I.V	2.0 1.5 1.75 0.8	buni	0	1
258879	doromu-aramaika	1035_GOOD	ˈbuni	ˈbuni	b u n i		dutton1970	25042	1 7 4 7	AXBZ	PYNI	1	1.P.C 1.Y.V 1.N.C 1.I.V	2.0 1.5 1.75 0.8	buni	0	1
258882	maria-maranomu	1035_GOOD	ˈbuni	ˈbuni	b u n i		dutton1970	25042	1 7 4 7	AXBZ	PYNI	8	8.P.C 8.Y.V 8.N.C 8.I.V	2.0 1.5 1.75 0.8	buni	0	1
258880	maria-maiagolo	1035_GOOD	ˈgado	ˈgado	g a d o		dutton1970	25043	1 7 1 7	AXBZ	KATU	7	7.K.C 7.A.V 7.T.C 7.U.V	2.0 1.5 1.75 0.8	gado	0	6
258884	maria-uderi	1035_GOOD	ˈgado	ˈgado	g a d o		dutton1970	25043	1 7 1 7	AXBZ	KATU	9	9.K.C 9.A.V 9.T.C 9.U.V	2.0 1.5 1.75 0.8	gado	0	6
#
259229	sinaugoro	1084_CALL	keapou-	keapou-	k e a p o u		dutton1970	25170	1 7 7 1 7 7	AXYBYZ	KEAPUY	12	12.K.C 12.E.V 12.A.V 12.P.C 12.U.V 12.Y.V	2.0 1.5 1.3 1.75 1.3 0.8	keapou	0	17
259224	hula	1084_CALL	kea-	kea-	k e a		dutton1970	25170	1 7 7	AXZ	KEA	4	4.K.C 4.E.V 4.A.V	2.0 1.5 0.8	kea	1	17
259227	motu	1084_CALL	boiboi-	boiboi-	b o i b o i		dutton1970	25169	1 7 7 1 7 7	AXYBYZ	PUIPUI	10	10.P.C 10.U.V 10.I.V 10.P.C 10.U.V 10.I.V	2.0 1.5 1.3 1.75 1.3 0.8	boiboi	0	23
259228	mulaha	1084_CALL	adana	adana	a d a n a		dutton1970	25171	7 1 7 4 7	XBYBZ	ATANA	11	11.A.V 11.T.C 11.A.V 11.N.C 11.A.V	1.5 1.75 1.3 1.75 0.8	adana	0	24
259226	humene	1084_CALL	huva-nE-	huva-nE-	h u v a + n E/e		dutton1970	25169	3 7 3 7 9 4 7	AXBZ_AX	HYBA_NE	5	5.H.C 5.Y.V 5.B.C 5.A.V 5._._ 5.N.C 5.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	huva+nE/e	0	18
