ID,Name,Concepticon_ID,Concepticon_Gloss
298_youpronound2s,you (pronoun d:2s),2091,YOUR
301_stringbag,string bag,293,NETBAG
805_tocallout,to call out,1084,CALL
894_middletongue,"middle, tongue",1205,TONGUE
945_shinbone,shin bone,186,SHIN
955_sagotree,sago tree,2372,SAGO PALM
965_sagoswamp,sago swamp,1145,SWAMP
1218_fern,fern,3802,FERN
1235_headache,headache,3625,HEADACHE
1269_swollen,swollen,1573,SWELL
1273_tomorrowmorning,tomorrow morning,1339,MORNING
1278_tuber,tuber,410,YAM
1302_twohundred,two hundred,2676,TWO HUNDRED
1586_canoewithoutoutrigger,canoe without outrigger,1970,CANOE
1603_cowife,co-wife,3636,CO-WIFE
1604_cowrie,cowrie,3663,COWRIE SHELL
1617_discclub,disc club,1763,CLUB
1654_headcovering,head covering,2130,HEADGEAR
1671_lavalavasarong,lavalava (sarong),2413,SARONG
1697_odour,odour,1587,SMELL (STINK)
1706_topant,to pant,3614,PANT
1738_sheath,sheath,3424,SHEATH
1739_shellhull,"shell, hull",3660,SHELL (SOMETHING)
1742_siblingoppositesex,"sibling, opposite sex",1640,SIBLING
1773_treebase,tree base,776,TRUNK OF TREE
1905_theydualpronound3pdual,"they dual (pronoun d:3p, dual)",817,THEY
1944_kinsman,kinsman,1644,RELATIVES
1966_shootplant,"shoot, plant",3358,SPROUT (SHOOT)
1969_shortpieceofwood,short-piece-of-wood,3222,TWIG
1980_treetop,tree top,3036,TREETOP
2026_treepossum,tree possum,470,POSSUM
2027_groundpossum,ground possum,470,POSSUM
2030_siblingsamesex,"sibling, same sex",1640,SIBLING
2035_arecanut,areca nut,191,NUT
2041_leftarm,left (arm),244,LEFT
2042_rightarm,right (arm),1019,RIGHT
2070_underneath,underneath,1485,BELOW OR UNDER
2087_axeiron,axe (iron),677,AXE
2089_ourtwopronounp1pdual,"our (two) (pronoun p:1p, dual)",780,OUR
2090_theirpronounp3pdual,"their (pronoun p:3p, dual)",2400,THEIR
2091_chickentame,chicken (tame),1318,CHICKEN
2092_chickenwild,chicken (wild),1318,CHICKEN
2093_arrowpronged,arrow (pronged),977,ARROW
2094_arrowhooked,arrow (hooked),977,ARROW
2095_arrowbarredarrowwithcrossbar,arrow (barred) (Arrow with cross bar),977,ARROW
2106_theirspronounp3p,theirs (pronoun p:3p),2400,THEIR
2109_witchcraft,witchcraft,392,MAGIC
2151_sitwithfeetandlegstogether,sit (with feet and legs together),1416,SIT
2162_cuthair,cut (hair),1432,CUT
2163_dirtywater,dirty (water),1230,DIRTY
2173_inlaw,in-law,1644,RELATIVES
2180_point,point,3255,POINT (POINTED END)
2181_sorcery,sorcery,392,MAGIC
2193_meatgame,meat (game),634,MEAT
2197_lowerback,lower back,3613,LOWER BACK
2214_shortthings,short (things),1645,SHORT
2215_shortpeople,short (people),1645,SHORT
2235_umbilicalcord,umbilical cord,2663,UMBILICAL CORD
2238_sleepy,sleepy,3620,SLEEPY
2248_tothrowaway,to throw away,1456,THROW
2250_newborn,newborn,1289,BABY
