# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SOURCE	COGID
239134	tok-pisin	189_HAIR_BODY	grass bilong het	grass_bilong_het	g r a s s + b i l o n g + h e t	head hair	abbott1985	1
239135	tok-pisin	1256_HEAD	het	het	h e t	head	abbott1985	2
239136	tok-pisin	478_LIP	lip	lip	l i p	lip	abbott1985	3
239137	tok-pisin	1221_NOSE	nus	nus	n u s	nose	abbott1985	4
239138	tok-pisin	1248_EYE	ai	ai	a i	eye	abbott1985	5
239139	tok-pisin	763_SKIN	skin	skin	s k i n	skin	abbott1985	6
239140	tok-pisin	1371_KNEE	skru bilong lek	skru_bilong_lek	s k r u + b i l o n g + l e k	knee	abbott1985	7
239141	tok-pisin	1554_MAN	man	man	m a n	man	abbott1985	8
239142	tok-pisin	962_WOMAN	meri	meri	m e r i	woman	abbott1985	9
239143	tok-pisin	937_BIRD	pisin	pisin	p i s i n	bird	abbott1985	10
239144	tok-pisin	2009_DOG	dok	dok	d o k	dog	abbott1985	11
239145	tok-pisin	1403_BITE	dok i kaikaim man	dok_i_kaikaim_man	d o k + i + k a i k a i m + m a n	he bites	abbott1985	12
239146	tok-pisin	1416_SIT	em i sindaun	em_i_sindaun	e m + i + s i n d a u n	he sits down	abbott1985	13
239147	tok-pisin	1442_STAND	em i sanap	em_i_sanap	e m + i + s a n a p	he stands up	abbott1985	14
239148	tok-pisin	215_LIE_DOWN	em i slip	em_i_slip	e m + i + s l i p	he lies down	abbott1985	15
239149	tok-pisin	2457_PATH_OR_ROAD	rot	rot	r o t	road	abbott1985	16
239150	tok-pisin	857_STONE	ston	ston	s t o n	stone	abbott1985	17
239151	tok-pisin	1202_BIG	bikpela	bikpela	b i k p e l a	big	abbott1985	18
239152	tok-pisin	1246_SMALL	liklik	liklik	l i k l i k	little	abbott1985	19
239153	tok-pisin	221_FIRE	paia	paia	p a i a	fire	abbott1985	20
239154	tok-pisin	778_SMOKE_EXHAUST	smok bilong paia	smok_bilong_paia	s m o k + b i l o n g + p a i a	smoke	abbott1985	21
239155	tok-pisin	646_ASH	sit bilong paia	sit_bilong_paia	s i t + b i l o n g + p a i a	ashes	abbott1985	22
239156	tok-pisin	1247_EAR	yau	yau	j a u	ear	abbott1985	23
239157	tok-pisin	1205_TONGUE	tang	tang	t a n g	tongue	abbott1985	24
239158	tok-pisin	1380_TOOTH	tit	tit	t i t	tooth	abbott1985	25
239159	tok-pisin	2121_ARM_OR_HAND	han	han	h a n	hand	abbott1985	26
239160	tok-pisin	2098_FOOT_OR_LEG	lek (foot)	lek_	l e k	foot	abbott1985	27
239161	tok-pisin	1343_SUN	san	san	s a n	sun	abbott1985	28
239162	tok-pisin	1370_MONTH	mun	mun	m u n	month	abbott1985	29
239163	tok-pisin	1430_STAR	sta	sta	s t a	star	abbott1985	30
239164	tok-pisin	1489_CLOUD	klaut	klaut	k l a u t	cloud	abbott1985	31
239165	tok-pisin	2108_RAINING_OR_RAIN	ren	ren	r e n	rain	abbott1985	32
239166	tok-pisin	666_RIVER	wara	wara	w a r a	river	abbott1985	33
239167	tok-pisin	906_TREE	diwai	diwai	d i w a i	tree	abbott1985	34
239168	tok-pisin	628_LEAF	lip (leaf)	lip_	l i p	leaf	abbott1985	35
239169	tok-pisin	634_MEAT	abus	abus	a b u s	meat	abbott1985	36
239170	tok-pisin	323_FAT_ORGANIC_SUBSTANCE	gris	gris	g r i s	fat	abbott1985	37
239171	tok-pisin	744_EGG	kiau	kiau	k i a u	egg	abbott1985	38
239172	tok-pisin	1336_EAT	em i kaikai saksak	em_i_kaikai_saksak	e m + i + k a i k a i + s a k s a k	he eats	abbott1985	39
239173	tok-pisin	1409_SEE	em i lukim	em_i_lukim	e m + i + l u k i m	he sees	abbott1985	40
239174	tok-pisin	1446_COME	em i kam	em_i_kam	e m + i + k a m	he comes	abbott1985	41
239175	tok-pisin	1392_LOUSE	laus	laus	l a u s	louse	abbott1985	42
239176	tok-pisin	1493_ONE	wan	wan	w a n	one	abbott1985	43
239177	tok-pisin	1498_TWO	tu	tu	t u	two	abbott1985	44
239178	tok-pisin	1482_SHOULDER	sol	sol	s o l	shoulder	abbott1985	45
239179	tok-pisin	1510_CHIN	wasket	wasket	w a s k e t	chin	abbott1985	46
239180	tok-pisin	2824_KNUCKLE	skru bilong pinga	skru_bilong_pinga	s k r u + b i l o n g + p i n g a	knuckle	abbott1985	47
239181	tok-pisin	1781_THUMB	nambawan pinga	nambawan_pinga	n a m b a w a n + p i n g a	thumb	abbott1985	48
239182	tok-pisin	2098_FOOT_OR_LEG	lek (leg)	lek_	l e k	leg	abbott1985	49
239183	tok-pisin	1394_BONE	bun	bun	b u n	bone	abbott1985	50
239184	tok-pisin	946_BLOOD	blut	blut	b l u t	blood	abbott1985	51
239185	tok-pisin	1201_FEATHER	gras bilong pisin	gras_bilong_pisin	g r a s + b i l o n g + p i s i n	feather	abbott1985	52
239186	tok-pisin	1257_WING	wing bilong pisin	wing_bilong_pisin	w i n g + b i l o n g + p i s i n	wing	abbott1985	53
239187	tok-pisin	1366_BOY	pikinini man	pikinini_man	p i k i n i n i + m a n	boy	abbott1985	54
239188	tok-pisin	1646_GIRL	yangpela meri	yangpela_meri	j a n g p e l a + m e r i	girl	abbott1985	55
239189	tok-pisin	1289_BABY	liklik pikinini	liklik_pikinini	l i k l i k + p i k i n i n i	baby	abbott1985	56
239190	tok-pisin	406_OLD_MAN	lapun man	lapun_man	l a p u n + m a n	old man	abbott1985	57
239191	tok-pisin	907_OLD_WOMAN	lapun meri	lapun_meri	l a p u n + m e r i	old woman	abbott1985	58
239192	tok-pisin	1217_FATHER	papa	papa	p a p a	father	abbott1985	59
239193	tok-pisin	1216_MOTHER	mama	mama	m a m a	mother	abbott1985	60
239194	tok-pisin	1759_OLDER_BROTHER	bikpela brata bilong man	bikpela_brata_bilong_man	b i k p e l a + b r a t a + b i l o n g + m a n	older brother	abbott1985	61
239195	tok-pisin	1758_OLDER_SISTER	bikpela susa bilong man	bikpela_susa_bilong_man	b i k p e l a + s u s a + b i l o n g + m a n	older sister	abbott1985	62
239196	tok-pisin	1405_NAME	nem	nem	n e m	name	abbott1985	63
239197	tok-pisin	1490_RAT	rat	rat	r a t	rat	abbott1985	64
239198	tok-pisin	503_FROG	krokrok	krokrok	k r o k r o k	frog	abbott1985	65
239199	tok-pisin	730_SNAKE	snek	snek	s n e k	snake	abbott1985	66
239200	tok-pisin	2638_FISHING	pis	pis	p i s	fish	abbott1985	67
239201	tok-pisin	351_TARO	taro	taro	t a r o	taro	abbott1985	68
239202	tok-pisin	868_BANANA	banana	banana	b a n a n a	banana	abbott1985	69
239203	tok-pisin	159_SWEET_POTATO	kaukau	kaukau	k a u k a u	sweet potato	abbott1985	70
239204	tok-pisin	677_AXE	tamiok	tamiok	t a m i o k	axe	abbott1985	71
239205	tok-pisin	1352_KNIFE	naip	naip	n a i p	knife	abbott1985	72
239206	tok-pisin	977_ARROW	spia	spia	s p i a	arrow	abbott1985	73
239207	tok-pisin	1252_HOUSE	haus	haus	h a u s	house	abbott1985	74
239208	tok-pisin	2159_GROUND	graun	graun	g r a u n	ground	abbott1985	75
239209	tok-pisin	671_SAND	waisan	waisan	w a i s a n	sand	abbott1985	76
239210	tok-pisin	639_MOUNTAIN	maunten	maunten	m a u n t e n	mountain	abbott1985	77
239211	tok-pisin	960_WIND	win	win	w i n	wind	abbott1985	78
239212	tok-pisin	1204_BARK	skin diwai	skin_diwai	s k i n + d i w a i	bark	abbott1985	79
239213	tok-pisin	1233_NIGHT	nait	nait	n a i t	night	abbott1985	80
239214	tok-pisin	1174_YESTERDAY	asde	asde	a s d e	yesterday	abbott1985	81
239215	tok-pisin	1329_TOMORROW	tumora	tumora	t u m o r a	tomorrow	abbott1985	82
239216	tok-pisin	1035_GOOD	gutpela	gutpela	g u t p e l a	good	abbott1985	83
239217	tok-pisin	1292_BAD	nogut	nogut	n o g u t	bad	abbott1985	84
239218	tok-pisin	1203_LONG	longpela	longpela	l o n g p e l a	long	abbott1985	85
239219	tok-pisin	1645_SHORT	sotpela	sotpela	s o t p e l a	short	abbott1985	86
239220	tok-pisin	1210_HEAVY	hevi	hevi	h e v i	heavy	abbott1985	87
239221	tok-pisin	630_LIGHT_RADIATION	in no hevi	in_no_hevi	i n + n o + h e v i	light	abbott1985	88
239222	tok-pisin	1287_COLD	kol	kol	k o l	cold	abbott1985	89
239223	tok-pisin	2272_HOT_OR_WARM	hat	hat	h a t	hot	abbott1985	90
239224	tok-pisin	725_OLD_PERSON	olpela	olpela	o l p e l a	old	abbott1985	91
239225	tok-pisin	1231_NEW	nupela	nupela	n u p e l a	new	abbott1985	92
239226	tok-pisin	98_ALL	olgeta	olgeta	o l g e t a	all	abbott1985	93
239227	tok-pisin	1214_THIS	dispela	dispela	d i s p e l a	this	abbott1985	94
239228	tok-pisin	1268_YES	yes	yes	j e s	yes	abbott1985	95
239229	tok-pisin	1269_NO	nogat	nogat	n o g a t	no	abbott1985	96
239230	tok-pisin	1458_SAY	em i tok	em_i_tok	e m + i + t o k	he says	abbott1985	97
239231	tok-pisin	1408_HEAR	em i harim	em_i_harim	e m + i + h a r i m	he hears	abbott1985	98
239232	tok-pisin	1410_KNOW_SOMETHING	em i save	em_i_save	e m + i + s a v e	he knows	abbott1985	99
239233	tok-pisin	1401_DRINK	em i dring wara	em_i_dring_wara	e m + i + d r i n g + w a r a	he drinks	abbott1985	100
239234	tok-pisin	1585_SLEEP	em i slip	em_i_slip	e m + i + s l i p	he sleeps	abbott1985	101
239235	tok-pisin	1417_KILL	em i kilim i dai	em_i_kilim_i_dai	e m + i + k i l i m + i + d a i	he kills	abbott1985	102
239236	tok-pisin	2101_BE_DEAD_OR_DIE	em i dai pinis	em_i_dai_pinis	e m + i + d a i + p i n i s	he dies	abbott1985	103
239237	tok-pisin	2102_BURN	paia i lait	paia_i_lait	p a i a + i + l a i t	it burns	abbott1985	104
239238	tok-pisin	1280_FALL	em i pundaun	em_i_pundaun	e m + i + p u n d a u n	he falls down	abbott1985	105
239239	tok-pisin	1433_HIT	em i paitim dok	em_i_paitim_dok	e m + i + p a i t i m + d o k	he hits	abbott1985	106
239240	tok-pisin	879_COUGH	em i kus	em_i_kus	e m + i + k u s	he coughs	abbott1985	107
239241	tok-pisin	1355_LAUGH	em i lap	em_i_lap	e m + i + l a p	he laughs	abbott1985	108
239242	tok-pisin	1209_I	mi	mi	m i	I	abbott1985	109
239243	tok-pisin	1215_THOU	yu	yu	j u	thou	abbott1985	110
239244	tok-pisin	262_HE_OR_SHE_OR_IT	em	em	e m	he	abbott1985	111
239245	tok-pisin	2636_WE_TWO_EXCLUSIVE	mipela	mipela	m i p e l a	we pl excl	abbott1985	112
239246	tok-pisin	2312_YOU_OBLIQUE_CASE_OF_YOU	yupela	yupela	j u p e l a	you pl excl	abbott1985	113
239247	tok-pisin	817_THEY	ol	ol	o l	they	abbott1985	114
239248	tok-pisin	970_COCONUT	kokonas	kokonas	k o k o n a s	coconut	abbott1985	115
239249	tok-pisin	217_BETELNUT	buai	buai	b u a i	betelnut	abbott1985	116
239250	tok-pisin	982_LIME_FRUIT	kəmbang	kəmbang	k ə m b a n g	lime	abbott1985	117
239251	tok-pisin	2270_SAGO	sasak	sasak	s a s a k	sago	abbott1985	118
239252	tok-pisin	1970_CANOE	kanu	kanu	k a n u	canoe	abbott1985	119
239253	tok-pisin	234_PADDLE	pul	pul	p u l	paddle	abbott1985	120
239254	tok-pisin	2963_NET	basket bilong pis	basket_bilong_pis	b a s k e t + b i l o n g + p i s	net	abbott1985	121
239255	tok-pisin	1539_BASKET	basket	basket	b a s k e t	basket	abbott1985	122
239256	tok-pisin	1857_CROCODILE	pukpuk	pukpuk	p u k p u k	crocodile	abbott1985	123
239257	tok-pisin	1509_MOSQUITO	natnat	natnat	n a t n a t	mosquito	abbott1985	124
239258	tok-pisin	1474_SEA	solwara	solwara	s o l w a r a	sea	abbott1985	125
239259	tok-pisin	113_SHORE	nambis	nambis	n a m b i s	beach	abbott1985	126
239260	tok-pisin	1443_WALK	em i wokabaut	em_i_wokabaut	e m + i + w o k a b a u t	he walks	abbott1985	127
239261	tok-pisin	1447_GIVE	em i givim mi	em_i_givim_mi	e m + i + g i v i m + m i	he gives	abbott1985	128
240119	chambri-kilimbit	189_HAIR_BODY	wɔˈbr̃i	wɔˈbr̃i	w ɔ b r̃ i		abbott1985	21599
240120	chambri-kilimbit	1256_HEAD	kʰaˈr̃i	kʰaˈr̃i	kʰ a r̃ i		abbott1985	21791
240121	chambri-kilimbit	478_LIP	anˈtan.o	anˈtan.o	a n t a n + o		abbott1985	21894
240122	chambri-kilimbit	1221_NOSE	ˈwambʊšʊ	ˈwambʊšʊ	w a m b ʊ ʂ ʊ		abbott1985	21699
240123	chambri-kilimbit	1248_EYE	ˈbiaŋkʰ	ˈbiaŋkʰ	b i a ŋ kʰ		abbott1985	21872
240124	chambri-kilimbit	1248_EYE	ˈtsɩtsɩŋkʰ	ˈtsɩtsɩŋkʰ	ts ɪ ts ɪ ŋ kʰ		abbott1985	21872
240125	chambri-kilimbit	763_SKIN	maŋˈgekʰ	maŋˈgekʰ	m a ŋ g e kʰ		abbott1985	21611
240126	chambri-kilimbit	1371_KNEE	ˈpr̃ampʰ	ˈpr̃ampʰ	p r̃ a m pʰ		abbott1985	129
240127	chambri-kilimbit	1554_MAN	nanmaˈslan	nanmaˈslan	n a n m a s l a n		abbott1985	21936
240128	chambri-kilimbit	962_WOMAN	nʊˈmænən	nʊˈmænən	n ʊ m æ n ə n		abbott1985	21777
240129	chambri-kilimbit	937_BIRD	iamˈbwi	iamˈbwi	i a m b w i		abbott1985	21641
240130	chambri-kilimbit	2009_DOG	yuˈri	yuˈri	j u r i		abbott1985	130
240131	chambri-kilimbit	2457_PATH_OR_ROAD	ˈhau	ˈhau	h a u		abbott1985	21619
240132	chambri-kilimbit	857_STONE	ˈořo	ˈořo	o r̝ o		abbott1985	21652
240133	chambri-kilimbit	1202_BIG	ˈubo	ˈubo	u b o		abbott1985	131
240134	chambri-kilimbit	1246_SMALL	baˈpokʰo	baˈpokʰo	b a p o kʰ o		abbott1985	132
240135	chambri-kilimbit	221_FIRE	haiˈil	haiˈil	h a i i l		abbott1985	21915
240136	chambri-kilimbit	778_SMOKE_EXHAUST	elaˈpan	elaˈpan	e l a p a n		abbott1985	133
240137	chambri-kilimbit	646_ASH	ɛsaˈlo	ɛsaˈlo	ɛ s a l o		abbott1985	21715
240138	chambri-kilimbit	1247_EAR	Kʰeˈli	Kʰeˈli	kʰ e l i		abbott1985	21799
